zpid,numOfPrimarySchools,numOfElementarySchools,numOfMiddleSchools,numOfHighSchools,avgSchoolDistance,avgSchoolRating,avgSchoolSize,MedianStudentsPerTeacher
29345627,1,0,1,1,1.1666666666666667,7.0,1177,16
124721177,1,0,1,1,1.2666666666666666,7.0,1298,16
29399335,1,0,1,1,1.3666666666666665,7.333333333333332,1142,15
145658676,1,0,1,1,1.1666666666666667,7.0,1298,16
29398335,1,0,1,1,1.2666666666666666,7.333333333333332,1142,15
29334959,1,0,1,1,1.0,7.0,1298,16
29348123,1,0,1,1,1.8666666666666665,7.0,1177,16
29337189,1,0,1,1,1.3333333333333333,6.0,1196,16
29346121,1,0,1,1,1.4,7.0,1177,16
29336176,1,0,1,1,1.1,7.0,1298,16
29399332,1,0,1,1,1.3666666666666665,7.333333333333332,1142,15
29335384,1,0,1,1,1.0,7.0,1298,16
29343121,1,0,1,1,1.2666666666666666,7.0,1177,16
29403331,1,0,1,1,1.5,7.333333333333332,1142,15
29403330,1,0,1,1,1.5,7.333333333333332,1142,15
29337173,1,0,1,1,1.3,7.0,1298,16
29346119,1,0,1,1,1.4333333333333331,7.0,1177,16
29335173,1,0,1,1,0.8999999999999999,7.0,1298,16
29403326,1,0,1,1,1.5,7.333333333333332,1142,15
29335672,1,0,1,1,1.1,7.0,1298,16
29348108,1,0,1,1,1.7666666666666668,7.0,1177,16
29403322,1,0,1,1,1.5,7.333333333333332,1142,15
29335663,1,0,1,1,1.1333333333333333,7.0,1298,16
29345605,1,0,1,1,1.3666666666666665,7.0,1177,16
94642817,1,0,1,1,1.5333333333333332,7.0,1298,16
29337315,1,0,1,1,1.3,6.0,1196,16
29333662,1,0,1,1,0.9333333333333332,7.0,1298,16
29349604,1,0,1,1,2.6,7.0,1177,16
29337161,1,0,1,1,1.3333333333333333,6.0,1196,16
29408987,1,0,1,1,1.2333333333333334,7.0,1177,16
29348102,1,0,1,1,1.8,7.0,1177,16
29344101,1,0,1,1,1.5333333333333332,7.0,1177,16
29335158,1,0,1,1,0.8666666666666666,7.0,1298,16
29348100,1,0,1,1,1.8,7.0,1177,16
64916657,1,0,1,1,1.2,7.0,1298,16
29337311,1,0,1,1,1.3333333333333333,6.0,1196,16
29349599,1,0,1,1,2.6,7.0,1177,16
29335458,0,0,0,0,1.838295658649848,5.778694090331862,1237,15
29397486,1,0,1,1,1.2333333333333334,7.333333333333332,1142,15
29340308,1,0,1,1,1.7333333333333334,6.0,1196,16
29345599,1,0,1,1,1.3,7.0,1177,16
29399307,1,0,1,1,1.3333333333333333,7.333333333333332,1142,15
79981151,1,0,1,1,1.3666666666666665,7.0,1298,16
29345592,1,0,1,1,1.2666666666666666,7.0,1177,16
29399304,1,0,1,1,1.3333333333333333,7.333333333333332,1142,15
29344090,1,0,1,1,1.5333333333333332,7.0,1177,16
29337303,1,0,1,1,1.2666666666666666,6.0,1196,16
29336146,1,0,1,1,1.2333333333333334,7.0,1298,16
29399300,1,0,1,1,1.3666666666666665,7.333333333333332,1142,15
29335642,1,0,1,1,1.1333333333333333,7.0,1298,16
29335955,1,0,1,1,1.0666666666666669,7.0,1298,16
29343088,1,0,1,1,1.1333333333333335,7.0,1177,16
29397296,1,0,1,1,1.5,7.333333333333332,1142,15
29335128,1,0,1,1,0.8666666666666666,7.0,1298,16
29343087,1,0,1,1,1.1333333333333335,7.0,1177,16
29335606,1,0,1,1,1.2666666666666666,7.0,1298,16
29337783,1,0,1,1,1.366666666666667,6.0,1196,16
145655084,1,0,1,1,1.5666666666666664,7.0,1177,16
29335604,1,0,1,1,1.2666666666666666,7.0,1298,16
29336913,1,0,1,1,1.3666666666666665,7.0,1298,16
2128691779,1,0,1,1,1.6333333333333335,6.0,1196,16
29408985,1,0,1,1,1.2333333333333334,7.0,1177,16
29335601,1,0,1,1,1.1666666666666667,7.0,1298,16
29337779,1,0,1,1,1.3666666666666665,6.0,1196,16
29348081,1,0,1,1,1.933333333333333,7.0,1177,16
29335600,1,0,1,1,1.2333333333333334,7.0,1298,16
29398275,1,0,1,1,1.3,7.333333333333332,1142,15
29339099,1,0,1,1,1.3333333333333333,7.0,1298,16
29403268,1,0,1,1,1.5333333333333332,7.333333333333332,1142,15
29346465,1,0,1,1,2.3000000000000003,7.0,1177,16
29403266,1,0,1,1,1.5333333333333332,7.333333333333332,1142,15
29339090,1,0,1,1,1.5,7.0,1298,16
29428570,1,0,1,1,0.7666666666666666,3.6666666666666665,1002,14
58301763,1,0,1,1,2.1666666666666665,6.0,1196,16
29339088,1,0,1,1,1.5,7.0,1298,16
29398261,1,0,1,1,1.3333333333333333,7.333333333333332,1142,15
29339086,1,0,1,1,1.5,7.0,1298,16
124836084,1,0,1,1,0.8666666666666666,7.0,1298,16
58298078,1,0,1,1,2.233333333333333,7.0,1177,16
29337760,1,0,1,1,1.3333333333333333,6.0,1196,16
29345576,1,0,1,1,1.3,7.0,1177,16
29336080,1,0,1,1,1.3,7.0,1298,16
29341759,1,0,1,1,1.1666666666666667,7.0,1177,16
29338579,1,0,1,1,1.3666666666666665,6.0,1196,16
29335577,1,0,1,1,1.1333333333333333,7.0,1298,16
29348059,1,0,1,1,1.866666666666667,7.0,1177,16
29337757,1,0,1,1,1.3,6.0,1196,16
29344059,1,0,1,1,1.1,7.0,1177,16
29338575,1,0,1,1,1.3666666666666665,6.0,1196,16
29335443,1,0,1,1,1.2666666666666666,7.0,1298,16
29399253,1,0,1,1,1.5666666666666669,7.333333333333332,1142,15
29338573,1,0,1,1,1.4333333333333336,6.0,1196,16
29337753,1,0,1,1,1.4,6.0,1196,16
29335570,1,0,1,1,1.2,7.0,1298,16
